449 MSEC,ICOUNT,time,ft/s
2954.061,8706,2.954061,16.65347579475
2969.08,8765,2.96908,16.3681558914267
2988.904,8845,2.988904,16.8146354587032
3008.69,8927,3.00869,17.2681020250008
3028.905,9009,3.028905,16.9016406958528
3048.877,9090,3.048877,16.8986581213701
3069.306,9172,3.069306,16.7245908593992
3089.032,9253,3.089032,17.1093987630537
3109.383,9335,3.109383,16.7886917923774
3128.828,9415,3.128828,17.1423673609324
3148.706,9496,3.148706,16.9785692725625
3169.53,9580,3.16953,16.8075297733384
3189.355,9660,3.189355,16.8137873055907
3208.847,9740,3.208847,17.1010329023871
3229.555,9824,3.229555,16.9016805099481
3249.092,9903,3.249092,16.8483731722712
3271.185,9993,3.271185,16.9737020775813
3289.071,10066,3.289071,17.0058518767006
3309.095,10149,3.309095,17.2709415368226
3328.931,10229,3.328931,16.8044632654431
3348.901,10312,3.348901,17.3176431313639
3368.865,10393,3.368865,16.9054297735925
3389.803,10478,3.389803,16.9150189448211
3412.414,10571,3.412414,17.1376763522177
3430.005,10644,3.430005,17.2910389782655
3448.665,10722,3.448665,17.4169346195071
3469.098,10805,3.469098,16.9252353219465
3489.738,10890,3.489738,17.1592377260983
3509.738,10973,3.509738,17.2916666666667
3528.913,11052,3.528913,17.166449369839
3548.914,11134,3.548914,17.0824792093727
3569.009,11217,3.569009,17.20991954881
3589.107,11299,3.589107,17.0000331707965
3609.782,11383,3.609782,16.9286577992743
3629.144,11464,3.629144,17.4310505113112
3649.734,11548,3.649734,16.99854298203
3670.806,11636,3.670806,17.4006580612502
3689.417,11711,3.689417,16.7911450217614
3709.047,11793,3.709047,17.4053319748683
3729.114,11876,3.729114,17.2339329911463
3748.923,11958,3.748923,17.2480522321506
3770.158,12043,3.770158,16.6784396829133
3789.73,12124,3.78973,17.2440220723481
3808.97,12207,3.80897,17.9747054747057
3829.038,12289,3.829038,17.025446814165
3849.422,12373,3.849422,17.1703296703297
3871.204,12463,3.871204,17.2160499494995
